id	x_adju1	y_adju1	z_adju1	x_adju2	y_adju2	z_adju2	x_adju3	y_adju3	z_adju3	x_adju4	y_adju4	z_adju4	x_adju5	y_adju5	z_adju5	x_adju6	y_adju6	z_adju6	x_adju7	y_adju7	z_adju7	x_adju8	y_adju8	z_adju8	x_adju9	y_adju9	z_adju9	x_adju10	y_adju10	z_adju10	x_adju11	y_adju11	z_adju11	x_adju12	y_adju12	z_adju12	x_adju13	y_adju13	z_adju13	x_adju14	y_adju14	z_adju14	x_adju15	y_adju15	z_adju15	x_adju16	y_adju16	z_adju16	x_adju17	y_adju17	z_adju17	x_adju18	y_adju18	z_adju18	x_adju19	y_adju19	z_adju19	x_adju20	y_adju20	z_adju20	x_adjp0	y_adjp0	z_adjp0	x_adjp1	y_adjp1	z_adjp1	x_adjt1	y_adjt1	z_adjt1	x_adjt2	y_adjt2	z_adjt2	x_adjt3	y_adjt3	z_adjt3	x_adjt4	y_adjt4	z_adjt4	x_adjh1	y_adjh1	z_adjh1	x_adjh2	y_adjh2	z_adjh2	x_adjh3	y_adjh3	z_adjh3	x_adjh4	y_adjh4	z_adjh4	x_adjh5	y_adjh5	z_adjh5	x_adjh6	y_adjh6	z_adjh6	x_adjf1	y_adjf1	z_adjf1	x_adjf2	y_adjf2	z_adjf2	x_adjf3	y_adjf3	z_adjf3	x_adjf4	y_adjf4	z_adjf4	x_adjf5	y_adjf5	z_adjf5	x_adjf6	y_adjf6	z_adjf6	x_adjs1	y_adjs1	z_adjs1	x_adjs2	y_adjs2	z_adjs2	x_adjs3	y_adjs3	z_adjs3	x_adjs4	y_adjs4	z_adjs4
A2M	8.676146507263184	5.333416938781738	6.379030704498291	8.714628683450297	5.225390610630447	6.87996225353136	8.375492101784777	2.5479981195045833	10.023274842474745	9.143363148999281	4.930641658294487	8.225858907354636	6.536381284488009	3.935622138508405	7.66871449092909	9.295334515740354	3.86093046228085	11.103448704138906	9.491018052814498	5.104219217825116	10.462959617655748	8.97667965345911	3.489014479440818	15.023556745112172	8.613488147923418	5.098827858522442	9.324688961667938	7.774419709360146	-0.9644213279069564	6.568713281221223	8.552310180585227	5.473788381682384	6.437150955073374	8.622742308589453	5.40551392024464	6.427850649954137	13.861401094945347	4.066612053795355	14.646864817690279	5.035174319914986	-0.5557689421057992	9.308820062399187	10.85388601929783	5.325309966631145	8.088593813616198	9.672607272298904	6.257762322635216	9.460167982853411	13.451676560789826	6.353200472351425	9.166315702919118	11.103000751121295	5.896078180600302	10.503542563944785	10.883026285038019	5.481627845353602	8.816761056727078	12.768645191033805	4.003190505771565	7.45419769322613	21.402350161678946	1.9488853079223571	12.278250411670271	10.61481060278463	3.168423347163288	8.912826003209007	22.226097990003247	-25.58368140409394	30.187443830007446	41.54306008515573	-12.897345911534117	46.283725365403875	-23.719425276711505	0.704659165080348	2.864600481447524	-38.70737320893819	-26.164065411949636	8.56442422621555	8.2434115638202	5.677663022235351	5.871569503948448	8.270379544879612	5.692652527213436	5.8386744483227995	8.279025639742809	5.693870691857772	5.830880401984993	8.241645573986988	5.69298103566989	5.855768039123079	8.279345318101031	5.693997693108829	5.83158591024197	8.278762013764986	5.693886904885194	5.830673538756646	-87.11716311434192	37.25058695974381	67.09195091674866	-100.17829632794553	33.99252576880094	71.89649433278451	-69.09304537070243	21.871999993104637	56.338738903274844	-89.2881595904737	35.31495461406721	68.99133557599724	-70.91520273259181	24.11484692534939	56.49035326582498	-166.79255405954987	47.652029997347185	116.48021558860755	8.205355090105893	5.6996710177626975	5.920883218654636	8.208660201635237	5.697921017458359	5.919127703107248	8.205698198097043	5.69807996007524	5.916703115281839	8.201047755002419	5.698002180612097	5.938527322566853
ABCB1	8.543890953063965	5.3742499351501465	5.487386703491211	8.72518415245771	5.121905688881857	5.367240684437388	9.347205412647547	3.7980221831155196	3.5690310217773216	10.013900349704315	4.443418151918235	5.429276844585634	11.569372798392369	4.865730982721848	4.456096392520923	13.069196906597412	4.85833596880915	3.6103717389107346	12.619772975324297	4.449349740785937	4.521115916539216	16.724507113155497	-0.01609668426675448	7.011534854420585	11.590166963286222	5.051054415500243	5.498895873906669	9.747894822234533	3.7032934711704106	8.091760806042423	8.117970534795466	5.2318789661262395	5.692890175596173	8.15703714632719	5.230971161531744	5.674567456534789	20.680468814680136	-0.5392558956453684	-0.3018266515618704	16.229249451004023	0.23337939364950344	3.5977749298798334	7.82299150644644	3.4121993540629525	5.178141397064545	9.651070919289033	4.340514402018704	3.5883720399880437	12.317918007935141	3.45401916884391	2.5843705458648265	9.64290010258823	3.1091814178345656	1.5619359690120787	10.54160241173757	3.0912700529682295	3.1895763104860753	11.00883492541681	3.9338430625542555	4.082494115625047	9.847543949183041	2.7238798917936986	2.408020811272036	7.577292844787464	1.6886479936778516	4.692567668753782	5.582770000364115	-17.71304410165026	-13.140006104230913	3.114841079088462	-27.056357199008616	-12.530227046205404	16.534090927802488	-11.976384931957254	1.5410712900036883	31.774575235226074	-42.72359730751538	2.8741408237575103	8.290913869537796	5.665132179619742	5.849713371028108	8.29354241001685	5.672597570613251	5.836631986520794	8.278005351029027	5.682235082612375	5.827002390199466	8.30513925073216	5.666594472948267	5.8391511719185845	8.281312865315604	5.68000150152609	5.829835911328284	8.276452323603797	5.68330462015122	5.825889251734921	145.6634615928526	-149.39854945982813	10.998979968859771	132.46320225921178	-155.5575627728032	32.62475140862339	96.44594397405537	-108.55119909704379	27.35880175674232	146.57992131063227	-148.8497241547552	15.260410311193844	93.16856531509103	-109.3158512383084	27.648010437282657	201.45866717376057	-251.354597481606	51.16193878568888	8.374175369221625	5.589570599309654	5.900830674924794	8.446606377672524	5.623910571584184	5.815146612839281	8.439707025816949	5.624260663184717	5.81171260908025	8.475706193605099	5.617572233798198	5.792102647041035
ABCB9	8.6347074508667	5.29309606552124	5.323980331420898	8.830003617459534	4.912816875738993	5.170055169709614	9.78795267303203	2.6032913691458166	3.126216056168842	10.48862437909832	4.177285490274648	5.02972596782579	12.286226372177754	4.455495844267897	4.415320152064364	14.013823334391988	4.868581018806857	3.5309120111167207	13.44036784847407	4.232841339812236	4.4635164434205645	18.023829303459152	-1.7836252510776944	7.507750786123787	12.288771210792902	4.714033180712283	5.275189053222598	9.895162339572256	3.638119728743965	8.044143475107635	7.988776768023179	5.118921143942728	5.609512586465871	8.058837594345515	5.1052649897018725	5.594460899297441	21.175303390941163	-2.4162609827283585	1.3301637487071138	16.8242761519731	-1.0201604819514678	4.507429872141284	7.834005637039259	2.5253700859091923	5.427794092876264	10.134812790265965	3.5870437383357947	2.952636641534648	13.249641657942256	3.1271802433900344	2.0715129096617617	10.28786032464824	3.17263745217068	1.0218831085352527	11.270640348312583	2.532395785641825	2.9885970608909744	10.933708390983401	3.7555425519344663	3.900294048720519	10.23124719020654	2.494442826343006	1.869235503397959	7.4395626179436745	0.8812973056270756	4.626163290790275	4.2291862519940056	-20.986930553510142	-15.940736881258008	4.25423972569532	-31.377508836250712	-16.746232461879757	19.083393431391173	-15.609656356701342	0.9172250957773898	34.144790454549835	-49.259796926429814	-0.5709526447532429	8.29378161211607	5.654122353160175	5.854064166697849	8.296813562789595	5.666663939746023	5.837905308578932	8.276925441680936	5.675737957666401	5.82438644505104	8.30959444735026	5.660357499922709	5.840740389497869	8.282058348339074	5.674398668738386	5.829222896326866	8.275117592274524	5.6772265259171455	5.823133377977399	176.76763074040252	-366.72750108208373	-23.993526656065008	157.24869414458124	-375.94948602186406	17.654481438036097	107.95051596464828	-265.547568972755	26.945690158461957	176.14336291562773	-364.49863095883944	-17.55817852582179	109.72794583461439	-265.88957026374425	22.23316591973677	240.36227822753654	-602.1872594644267	36.02126682719514	8.336344557102986	5.414891870587368	5.844545449262101	8.445243384270027	5.45996319784678	5.840905373179042	8.440027530522562	5.4548977785566	5.844922403558293	8.481634900016935	5.423640448836298	5.830517245546076
ABCC3	8.479002952575684	5.205757141113281	5.337686061859131	8.582864900681042	4.8620443782242155	5.175868146214308	8.812487284045417	2.268846158757175	3.617196438584817	10.014048782446883	3.905643866877122	4.955372609160386	11.786118225679095	4.012627694018189	4.65484196656518	13.797599824538727	3.7619032764795657	3.72524842657699	13.013108388428977	3.251456530686331	4.566499560127708	16.27331556788895	-2.098893804574695	7.026522235680993	11.916106128027298	4.002227109796156	5.413707572049039	9.773145004905818	4.522043512136779	6.889400753476097	8.13974380742997	5.104052672505618	5.505807195003611	8.219504430789955	5.09345004463007	5.4888123971480525	19.34100086333133	-2.7697868701636317	0.520665944222281	14.907626200741047	-1.3346318414166678	4.439981601293926	8.36994972356809	2.688711076600286	4.871210614728732	10.332608340793167	3.4191325150118432	3.828019458851073	13.30400232954463	2.2406218021082567	3.13477823266759	10.7908772101596	2.598225819631245	1.8787095511047913	10.898726290621147	2.24205370358224	3.8312544356297003	10.054586639025255	4.667676624253252	5.1964730576624945	6.859655621912846	4.967457201561713	7.638912195174014	7.177986821537504	5.0233709649991845	7.6113154395243825	-12.169932413850068	-0.6455464145596386	47.61963130290396	-17.998600336980246	-3.5010099789907736	56.314534835856804	-8.173912437590907	-0.7537983275522722	45.21397051983456	-13.179655028110092	-4.0788526556452425	59.78307657159781	8.279185763431688	5.682785745956432	5.830858751860307	8.279710737371198	5.686823484510189	5.828252465278865	8.277333155838663	5.687815482965423	5.8278269695131195	8.281397360182073	5.684531690274717	5.828871327051715	8.277434937301534	5.6885714288338995	5.828108569892344	8.277343458414299	5.687585553311877	5.82778228453016	43.0839392062297	-549.7868878944493	-228.0032002547007	75.85977836613918	-528.8145240290422	-251.0217076507976	60.121644400132766	-364.47236095299996	-181.93591211997563	49.59445200990109	-540.3645131120546	-233.74614848349023	61.15445496094369	-368.14530822417476	-179.92781565719378	121.52822712626075	-839.1160719133474	-406.2226023073881	8.199212976199188	5.1191940641670906	5.562383754310945	8.27320575412683	5.175792522878057	5.541260902014672	8.162651367762345	5.1553783188187365	5.588493598304991	8.292840475680888	5.1021992638754625	5.471105368110085
ABCC4	8.543304443359375	5.370837688446045	5.481569766998291	8.722698479456161	5.124862524122376	5.374574185622377	9.342363245514635	3.7802504065519216	3.5627567142689167	10.015940270142064	4.438023624365236	5.415824135041454	11.561528747374783	4.826959376824151	4.445493612202027	13.033811327458967	4.825035589020488	3.610394912735597	12.564200166000614	4.38063711450511	4.497463951202959	16.627333065397814	-0.048541926383650846	6.921789590897636	11.550352291688267	5.04177072700383	5.5157547306327945	9.75946247340685	3.371576981722965	8.375935386762965	8.118861512539587	5.231748075210166	5.693116440043029	8.158792805002614	5.232120977196165	5.67243864280614	20.62282480483429	-0.5172651048637444	-0.33587902855529084	16.155872722698703	0.1664705905190651	3.5800405877931314	7.827290881255626	3.3884378287065964	5.174176160412742	9.637017947778336	4.336860698744252	3.6262360995829153	12.285970423992808	3.448224142143745	2.6182989035014748	9.618430632775276	3.049640167613877	1.5960807730753714	10.523426934891976	3.080970661282607	3.2038684691117436	11.359247863038515	3.7774240102917758	3.8236668234319575	9.679592333963917	2.151074892614806	2.1523914046473727	7.607676762566717	0.9780591909821714	4.236824800917787	8.159247440277017	-16.020698284760165	-18.92735408055746	7.235111734484671	-26.23149154311272	-22.99868622190129	17.237354817385913	-11.171238816466238	-4.1324162828129385	39.907790360719055	-49.03901410210513	-2.756221822883912	8.296144160919047	5.656160176977774	5.857551829256202	8.300452340284677	5.664187593713061	5.841204915632034	8.278246351861815	5.676008002382239	5.82562902275458	8.313506056510022	5.6582954264414775	5.845508652565045	8.283837541045537	5.674087584916989	5.830883432661427	8.275386506310006	5.678272201804434	5.823646010662781	108.94543476404924	-291.9935121122639	-37.04062965931762	114.2126586611819	-283.6677445678211	-55.472457793624834	83.63703567580018	-195.63053809969077	-40.24478315423403	112.15071123127004	-287.5879476883134	-41.425615804510905	83.04533892616396	-197.2896550707517	-38.988613636290545	177.86124856267202	-450.46218067897377	-95.75549501930064	8.272801035091137	5.516245842470378	5.857715753625502	8.38020048352597	5.553503820095547	5.794016164032472	8.27862858734664	5.538214636866655	5.84939651477717	8.410100741030403	5.535555549254297	5.7425713196171095
ABHD14A	8.524822235107422	5.196850776672363	5.424680709838867	8.65335506392615	4.837785060778834	5.322890094680611	9.797830172688917	2.28769900674195	3.704462123109113	10.225961014064412	3.903487609649738	5.231497044495822	12.028375727126145	4.279385839191702	4.922196010044257	13.835907206687633	4.270811850410435	4.103655145933015	13.029215843484453	3.6761704849815886	4.999544465860408	16.842593335022663	-1.8066380865864229	8.115556979866595	12.013811917742448	4.3296543796473825	5.760298535037468	9.668884252911825	3.5456623836998933	7.457955887022781	8.168409459983577	5.100522115899649	5.597994780822942	8.244079471641172	5.093658511860191	5.566311063556232	19.993017622946773	-2.090216452055488	1.36192763738822	15.726353891574352	-0.6987651122025724	5.277037886754691	8.33835002878832	2.5697101723622966	5.443326550973497	10.447773294741172	3.8105310617920756	3.541494638033511	13.303986733506793	3.0431176385413834	3.1313467718809966	10.807367721930037	3.1065394765124057	1.697429120077838	11.239076170773469	2.641281870836059	3.734243705216644	10.688712888254628	3.446627519855146	4.590160711374276	10.446985163441758	2.5061604065438696	3.032467797408451	8.228344896464028	1.4945683008605677	4.923379071279377	5.932676112268142	-18.372443423904645	-9.99042030416988	7.8357736354237595	-32.43965181825068	-9.34971601551847	12.298297978029314	-14.857227365853282	0.388017347549396	22.37520860468635	-45.3098340347808	-0.40983419495524487	8.290903299492449	5.6618240631686625	5.843941037062112	8.288397584567605	5.6741386643304095	5.832823237186535	8.276876637847653	5.680664252440097	5.8255991715001105	8.296157694173617	5.666669988599635	5.837210166190628	8.279182604404749	5.679759936209363	5.827713290872801	8.275957027047532	5.68115715856708	5.824892328802295	35.224679060383174	-353.4379781692792	80.09623480132974	33.55113218534882	-350.27864456378535	73.46432267382474	33.426991107053254	-243.51989650947598	43.926782632718655	34.31896759915922	-351.493331364335	78.74477840187133	30.375902269970318	-244.73047970583266	47.02689484205083	54.02924364294205	-557.3790651163544	104.69712942308787	8.287403535169029	5.47359646394683	5.948812341685502	8.33707611167663	5.482743568773895	5.925906321743247	8.310258633420101	5.477110774738658	5.9336570636690125	8.366288072262716	5.450342005368642	5.931340150541338
ACAD11	8.495231628417969	6.1793107986450195	5.638251781463623	8.631079555662437	6.524467331159519	5.540234800057335	7.82131702280405	10.392323727805536	4.611659707579427	8.579018673217833	8.034595993575184	5.515909724544686	5.671441680715726	7.457129104884286	5.236749462828034	7.208850413794975	11.587355714406389	6.5914394626582595	7.903598002508613	10.987664334532255	6.481522051026252	1.473540091251305	11.917566088083529	7.153380200636052	5.799612853008156	6.192456709340926	5.196093462518276	5.064778775606708	8.102059979185075	5.864936146751541	7.779833819437064	5.921625120200887	5.85628638986624	7.761630953063152	5.922918081640193	5.837553591068028	4.68497760730396	16.36108651006856	3.7235673188122433	1.7822562308506624	11.828542132164708	9.001101683741325	5.9652649635528885	7.744223253124299	6.561843117038859	6.736350994384466	7.066989907550705	7.656059608237609	4.743843234738932	8.33660548129186	8.85128258018178	9.16333394335238	10.87034552431927	6.140456240163093	5.431573531223538	8.223373637705604	6.752604881569284	5.165869163626718	7.118746087016772	5.145858812227727	8.678361679967198	10.789633905500597	3.7181226699776584	6.023722625581369	9.43398127061574	4.887687494002946	-3.89159644841164	20.278745242954486	-0.28884617046436034	-3.317543413747501	22.678672368589382	-0.2024676168932853	0.3311718813390758	21.318477232194454	4.9508999177281465	14.254771998057803	25.93937503338961	16.650094884598715	8.277957280389046	5.703964052334485	5.830564008343526	8.278593720670088	5.6989500529557295	5.830809301569471	8.279719070516329	5.698389186989756	5.832644471880482	8.279906300847284	5.699495570602971	5.828316415747808	8.279607329111483	5.69792078009632	5.832459943345073	8.279776024965907	5.698446533332034	5.832753344508164	-168.76733709932088	53.3352255796154	74.59686617678912	-157.31096104331652	45.12119915829376	42.52271869873964	-102.30038751823359	30.295169779236254	8.772394038501094	-166.25741571510017	50.30442339419778	66.96008965289872	-103.31203553658335	31.908091226929244	10.524098225431837	-247.5069728317556	66.37507099300981	35.08441617563027	8.142468803828029	5.736858281394375	5.986154182180807	8.165676836905012	5.723235654109008	5.981198199035793	8.166973160519786	5.7250474467206365	5.991519893522784	8.165339935337897	5.732184228113168	5.99586357864743
ACE	8.488394737243652	5.204370498657227	5.804422855377197	8.617442839637807	4.963066511492498	5.88980597221298	10.440420492109684	2.3503475595735397	5.615588927524549	9.736782873009359	3.966941942668444	6.297991791860794	11.489891001255433	4.753673570864407	6.4056992415002565	12.754418133000602	4.120232450427595	6.257057587525112	11.723004572126138	4.557026321510712	6.693517460887217	14.568526721494223	0.45986614480270926	10.376251826743864	11.136330152712276	5.179481213334046	6.924886982031365	9.382638008802513	5.637292751956045	6.027331727344145	8.414925785221198	5.219137382112736	5.8814084046897355	8.475408825007927	5.256186833405912	5.881407145535004	20.973062593871038	4.960232478993706	3.6494965423810486	14.73109851085783	2.3120349438993113	7.891316748061815	9.513151327597797	3.2146448639569654	6.1914468975817964	10.298685672920946	5.1187336438338775	4.237935758572374	12.632580361449435	5.3993601399600735	4.581614280073889	11.681009131560161	4.644815294309168	3.49275415143486	11.489808410409164	4.377849102530249	4.781816722334039	9.878887782943329	5.17996204133155	6.081134251907549	8.1464361561232	5.851725528763493	6.201744639961839	8.206791136630004	5.659170690939049	6.4567294221678635	-7.630251096419682	-1.5075051660436856	35.86362868604833	-14.062946054562543	-1.4477511430500076	46.26466355599227	-4.3578403923497095	-1.26270711735416	35.74525925021219	-8.013895156937663	-4.45380463037829	47.449875157538116	8.276981648225398	5.689331597196645	5.830503460291151	8.279412195364598	5.692236234587479	5.830077913840238	8.278785941087916	5.69316557685761	5.830482821146559	8.278936959429897	5.691728459229373	5.829219379891353	8.27889036618335	5.692895452635607	5.830511687121676	8.278603742545842	5.693181726077821	5.830350411645214	203.43490869630944	-37.884307869298524	145.28296322105214	209.11564087152317	-36.73846049193063	112.59767944809822	140.83511498530206	-27.928028586300464	94.61704569461979	209.14288766195887	-37.812237453483164	136.85586141567563	140.8790186617082	-27.69075097684035	95.34367229945973	314.17062165923295	-64.9176062058251	190.02569292180715	8.59395732441633	5.616810441756379	5.906273752368799	8.574782170017148	5.626486483702302	5.887897202676704	8.573690012019242	5.620474451736252	5.897631573881098	8.598886510330548	5.604188283529797	5.970919824350212
ACE2	8.172607421875	6.130343914031982	5.936181545257568	8.178912573688224	6.3811368075470725	5.991395737677459	7.142610117130875	9.030799445622662	6.762333543508526	7.412219559005474	7.360637922013727	6.323033131036595	7.009163702633549	7.587282009447851	6.490895750440642	6.834828495306369	9.066071638276629	6.970463212967449	7.417611331613188	8.755835493557495	6.271734607809166	6.451577629469036	12.858920789085598	6.279727965515218	7.2684738477965745	7.35880237168583	6.103959238757774	7.040353085086933	6.939975683285881	5.255223488806108	8.188511154615055	6.062444147033569	5.895292380231306	8.193300152943289	6.084897759065206	5.88518209505908	3.937389597636278	13.257004978351402	8.534255666298879	6.731049898544612	14.011698341580066	7.556441745204458	7.793561602886886	8.121646951064545	6.264101593010807	7.698407479548181	7.741095244795182	5.97522345609655	6.147816645590759	9.765438845431728	5.655963284804441	7.345483410284092	9.113675665277883	6.435835667894468	7.458730177740049	9.29644548329524	5.828033606704152	7.316304356653049	8.012721714881295	5.746873178519139	6.086512685236923	12.911398983596827	4.411051760386401	7.012567738328589	11.873394163645155	4.16331417649901	20.55305797544499	38.36235744777428	-27.070154396950194	24.436634209135185	61.741101488515945	-44.022711165183516	19.623137509234404	29.417472089999052	-23.718340986916665	32.15754471270126	81.07085229283726	-41.026383495462355	8.27883708139016	5.7004380588750605	5.825662765767085	8.277761551532137	5.699193862154806	5.830981770266123	8.279719484139854	5.698761404784419	5.832739159526331	8.278255470475681	5.699396276774858	5.829039507275285	8.279459402490446	5.698219161134521	5.83240022299426	8.279831771921842	5.698714634186566	5.832871841158026	167.4846137804458	161.40748478091467	121.77607084879644	187.234048372987	177.72017572723536	-18.354002402051375	136.07502603253067	125.71839756157712	-17.374134761430803	177.0866194550547	171.37977858948145	83.32847653642791	136.93108810023293	126.59053984189387	-14.307784653953517	295.98524211500416	279.13433819847796	-39.18535013230476	8.379565696192332	5.768785970145421	5.79910337441551	8.352525687022174	5.7629983972918986	5.780211392602884	8.347221215517262	5.764752200671109	5.778115278143894	8.367896846754633	5.775523247523334	5.78568847819677
ACHE	8.204971313476562	6.135138034820557	5.8951544761657715	8.189969480774861	6.433339532595909	5.950961591281633	7.526251262619925	8.512652530674535	7.217739253611603	7.6464003560253975	7.33558788589178	6.202145173435797	7.031041145636015	7.7286745272723625	6.275966243983719	6.561515381556564	9.217965499130145	6.607889249680101	7.120783028507633	9.076618207169345	6.501140039382187	5.480960181896015	12.40933927476844	6.700108569921699	7.1109620455093125	7.3907977765000625	5.989955261013278	9.401866965845093	6.305926656599366	5.530637480439521	8.113738228714436	6.093664748579988	5.883085471544011	8.094246668799558	6.126969563295379	5.912521312334883	4.095602869851526	14.064279973076903	7.729974557892218	5.683755490527263	13.703703763334103	7.415441472132345	7.7116076835825496	7.88303545422721	6.330891454803312	7.473928204049144	7.657943550561734	6.147185798746618	5.762541293273044	9.722288614391438	6.208062495217936	7.418549299183531	9.576784857769406	6.638177913173126	7.251730465567061	9.09357117510892	6.114402096165538	9.225671822071968	6.334289779909604	5.49864336011628	7.1314516781469575	5.86847174650348	6.81231112355953	7.369249916560047	6.080483581899618	5.930890529215578	-6.9931191919331095	-0.3113910668835169	39.06751264543727	-13.477063623893775	-0.6148659773312417	48.39032762236958	-4.526375446145382	0.8487555476499553	34.96800498971149	-10.196553546189088	-0.49307276414973167	55.12406178748472	8.275983337698927	5.692452060775329	5.827928170360199	8.27771692354685	5.695318388744691	5.829797956942668	8.27898915654346	5.695376960177588	5.831226686709384	8.277706031426664	5.694670564643862	5.828167358317325	8.27867361551955	5.695226993598372	5.830902250100656	8.279072449070847	5.695323052555512	5.831319812886996	116.56317200818448	229.2628955025003	273.66793049053126	135.31034519864266	245.57317495075648	239.20773964404268	109.74787178739767	182.806337885882	150.66372949546167	119.42231261898259	232.19157144099034	267.38497299732364	106.27600850165427	181.4516844112503	159.03225569619968	223.7235754878428	398.8579368411475	354.69827118035005	8.255477103135687	5.924063028477666	6.1063792262420105	8.107455436924782	5.9489520685173325	5.942645191855284	8.118253300238212	5.959556373120491	5.958601290355359	8.078241449894817	5.981297909986764	5.979930185038319
