id	x_spring	y_spring	z_spring	x_spectral	y_spectral	z_spectral	rwr_score_n	node_type_c	spectral_cluster_c	spectral_role_c	hub_score_n	bridge_score_spectral_n	peripheral_score_n	seed_score_spectral_n	eigenvector_centrality_spectral_n	hidef_primary_cluster_c	hidef_primary_size_n	hidef_primary_persistence_n	hidef_cluster_ids_a	hidef_cluster_sizes_a	hidef_top_persistence_n	hidef_n_communities_n	betweenness_centrality_n	eigenvector_centrality_n	clustering_coefficient_n	degree_n	degree_normalized_n	avg_shortest_path_n	fiedler_component_n	fiedler_partition_c	cocc_score_sum_normalized_n	cocc_perm_z_sum_normalized_n	cocc_perm_p_sum_normalized_n	cocc_pop_z_sum_normalized_n	cocc_pop_p_sum_normalized_n	cocc_significant_sum_normalized_c	cocc_score_raw_persistence_n	cocc_perm_z_raw_persistence_n	cocc_perm_p_raw_persistence_n	cocc_pop_z_raw_persistence_n	cocc_pop_p_raw_persistence_n	cocc_significant_raw_persistence_c	cocc_score_resolution_depth_n	cocc_perm_z_resolution_depth_n	cocc_perm_p_resolution_depth_n	cocc_pop_z_resolution_depth_n	cocc_pop_p_resolution_depth_n	cocc_significant_resolution_depth_c	cp_region_c	k_core_n	bridge_score_cp_n	in_seed_lcc_c	proteomics_enrichment_a	proteomics_significant_c	proteomics_best_term	proteomics_best_p_n	proteomics_n_sig_terms_n	neuropathic_pain_enrichment_a	neuropathic_pain_significant_c	neuropathic_pain_best_term	neuropathic_pain_best_p_n	neuropathic_pain_n_sig_terms_n	orphanet_enrichment_a	orphanet_significant_c	orphanet_best_term	orphanet_best_p_n	orphanet_n_sig_terms_n	omim_enrichment_a	omim_significant_c	omim_best_term	omim_best_p_n	omim_n_sig_terms_n	phenotypes_enrichment_a	phenotypes_significant_c	phenotypes_best_term	phenotypes_best_p_n	phenotypes_n_sig_terms_n	spatial_enrichment_a	spatial_significant_c	spatial_best_term	spatial_best_p_n	spatial_n_sig_terms_n	n_sig_analyses_n	any_sig_enrichment_c	is_drug_target_any_c	is_drug_target_disease_c	pain_phenotype_gene_c
LRRC8E	-0.074177	-0.090047	0.5	-0.994947	0.594954	0.5	0.0001291603	neighbor	0	Peripheral	0.1113156654	0.1525973047	0.7865846362	0.0411690082	0.0112495105	4	294	10	4,2,0	294,390,1126	104	3	0.0006203403	0.0017779247	0.0158683515	83	0.0048674642	2.8435373306	0.0001681527	A	0.8236866097	-6.3280423839	0.9991507749	2.2945329615	0.078515625	no	0.5694318555	-9.2839133619	0.9991507749	1.679567258	0.078515625	no	0.0480063492	1.5394854042	0.0302117175	-0.8327208779	0.810546875	yes	core	13	0.3928571429	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	1	Epilepsy,childhood absence,Leukoencephalopathy with vanishing white matter	yes	childhood absence	0.000277	3	nociception	yes	nociception	7.9e-06	1	PENK+_nociceptors,Proprioceptors	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
LXN	0.291488	-0.342367	0.5	-0.995647	0.595572	0.5	0.0019120335	seed	0	Peripheral	0.0063405223	0.0511176209	0.9873273985	0.6094482932	0.0001442851	6	75	55	6,4,2,0	75,294,390,1126	104	4	0.0001815196	0.0010932893	0.0142450142	27	0.001583392	3.099050045	0.0002190921	A	0.8249807692	-6.2812877858	0.9991507749	2.2997132199	0.078515625	no	0.5872534209	-8.7684349092	0.9991507749	1.7696264356	0.078515625	no	0.0489460317	1.5983414253	0.029622077	-0.8243437608	0.810546875	yes	periphery	2	0.5	no	female	yes	female	1.01e-14	1	pain_upregulated,no_pain_upregulated	yes	pain_upregulated	4.8e-37	2	Alternating hemiplegia of childhood ORPHA:2131,Multiple mitochondrial dysfunctions syndrome type 5 ORPHA:569274	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	2	Epilepsy,childhood absence,Leukoencephalopathy with vanishing white matter,Leukodystrophy	yes	childhood absence	0.000277	3	nociception,fibromyalgia	yes	fibromyalgia	4.45e-07	2	PENK+_nociceptors,Proprioceptors,Putative_C-LTMRs	yes	PENK+_nociceptors	5.09e-61	3	6	yes	no	no	yes
LY86	-0.165277	-0.129816	0.5	-0.994563	0.595454	0.5	9.839337631249748e-05	neighbor	0	Peripheral	0.1088406856	0.1788839805	0.7924953911	0.0313622508	0.0139129867	2	390	26	2,0	390,1126	104	2	0.0010190335	0.0042627864	0.0163877418	215	0.0126084917	2.7353389263	-0.0010754309	B	0.8703333333	-4.6428183142	0.9991507749	2.4812503432	0.0782552083	no	0.5566020799	-9.6550071865	0.9991507749	1.6147335011	0.078515625	no	0.0219619048	-0.0917808026	0.4257249189	-1.0649028688	0.84296875	no	intermediate	12	0.56	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	1	Epilepsy,childhood absence	yes	childhood absence	0.000277	2	nociception	yes	nociception	7.9e-06	1	PENK+_nociceptors,Proprioceptors	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
LYN	-0.330285	-0.019309	0.5	-0.995022	0.595807	0.5	0.0023081912	seed	1	Seed-proximal	0.1581689075	0.1610575907	0.708607876	0.7357209824	0.0341040752	15	20	5	15,13,10,9,3,1,0	20,25,34,35,353,608,1126	104	7	0.0006062639	0.0041023973	0.0480808081	100	0.0058644147	2.764015913	0.0007443151	A	0.7215485551	-10.0180230401	0.9991507749	1.8856950275	0.078515625	no	0.5829709907	-8.8923017216	0.9991507749	1.7479856799	0.078515625	no	0.1088063492	5.3476290406	0.0007332595	-0.2906987559	0.5109375	yes	core	14	0.2	yes	female,male	yes	male	5.03e-16	2	pain_upregulated,no_pain_upregulated	yes	no_pain_upregulated	3.06e-39	2	Alternating hemiplegia of childhood ORPHA:2131,Herpes simplex virus encephalitis ORPHA:1930,Congenital non-communicating hydrocephalus ORPHA:269510,Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia ORPHA:632	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	4	Epilepsy,childhood absence,Frontotemporal dementia and/or amyotrophic lateral sclerosis,Visceral neuropathy,familial,Immunodeficiency (select examples)	yes	Immunodeficiency (select examples)	6.71e-05	6	nociception,cancer pain	yes	nociception	7.9e-06	2	PENK+_nociceptors,Pruritogen_receptor_enriched,Putative_C-LTMRs	yes	PENK+_nociceptors	5.09e-61	3	6	yes	yes	no	yes
LYST	-0.393269	0.322693	0.5	-0.995213	0.596031	0.5	0.0018831069	seed	1	Peripheral	0.0407612005	0.0471085658	0.9201157161	0.6002281263	0.0093313488	21	13	8	21,3,1,0	13,353,608,1126	104	4	6.014281687195397e-07	0.0007913556	0.2666666667	6	0.0003518649	3.1905934811	0.0005939808	A	0.7271538462	-9.8155185429	0.9991507749	1.9081318715	0.078515625	no	0.5804575807	-8.9650006484	0.9991507749	1.7352844593	0.078515625	no	0.0913650794	4.2552135676	0.0007939184	-0.4461848429	0.637109375	yes	periphery	6	1	no	female,male	yes	male	5.03e-16	2	pain_upregulated,no_pain_upregulated	yes	no_pain_upregulated	3.06e-39	2	Alternating hemiplegia of childhood ORPHA:2131,Herpes simplex virus encephalitis ORPHA:1930,Distal 17p13.3 microdeletion syndrome ORPHA:261257	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	3	Epilepsy,childhood absence,Frontotemporal dementia and/or amyotrophic lateral sclerosis,Cardiofaciocutaneous syndrome	yes	Cardiofaciocutaneous syndrome	2.43e-07	4	nociception,cancer pain,temporomandibular disorder	yes	nociception	7.9e-06	3	PENK+_nociceptors,Pruritogen_receptor_enriched,Aß_SA_LTMRs	yes	PENK+_nociceptors	5.09e-61	3	6	yes	no	no	yes
MAL	-0.020035	-0.144399	0.5	-0.995109	0.595378	0.5	8.871784329844184e-05	neighbor	0	Peripheral	0.0566458239	0.0916882489	0.8888165518	0.0282782374	0.0048036484	6	75	55	6,4,2,0	75,294,390,1126	104	4	0.0003387704	0.0005744435	0.0155793574	79	0.0046328876	3.0063335896	0.000451145	A	0.8249807692	-6.2812877858	0.9991507749	2.2997132199	0.078515625	no	0.5872534209	-8.7684349092	0.9991507749	1.7696264356	0.078515625	no	0.0489460317	1.5983414253	0.029622077	-0.8243437608	0.810546875	yes	intermediate	12	0.7333333333	no	female	yes	female	1.01e-14	1	pain_upregulated,no_pain_upregulated	yes	pain_upregulated	4.8e-37	2	Alternating hemiplegia of childhood ORPHA:2131,Multiple mitochondrial dysfunctions syndrome type 5 ORPHA:569274	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	2	Epilepsy,childhood absence,Leukoencephalopathy with vanishing white matter,Leukodystrophy	yes	childhood absence	0.000277	3	nociception,fibromyalgia	yes	fibromyalgia	4.45e-07	2	PENK+_nociceptors,Proprioceptors,Putative_C-LTMRs	yes	PENK+_nociceptors	5.09e-61	3	6	yes	no	no	yes
MAN2B1	-0.314781	-0.370678	0.5	-0.993975	0.595634	0.5	0.0003217417	neighbor	0	Peripheral	0.0316604188	0.1564396656	0.9371872917	0.1025530771	0.0019296676	2	390	26	2,0	390,1126	104	2	6.234511195037791e-05	0.0003941247	0.0215384615	26	0.0015247478	3.1517124176	-0.0018056679	B	0.8703333333	-4.6428183142	0.9991507749	2.4812503432	0.0782552083	no	0.5566020799	-9.6550071865	0.9991507749	1.6147335011	0.078515625	no	0.0219619048	-0.0917808026	0.4257249189	-1.0649028688	0.84296875	no	periphery	7	0.7777777778	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	1	Epilepsy,childhood absence	yes	childhood absence	0.000277	2	nociception	yes	nociception	7.9e-06	1	PENK+_nociceptors,Proprioceptors	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
MANEA	-0.145774	-0.266734	0.5	-0.994669	0.595215	0.5	8.916214860833252e-05	neighbor	0	Peripheral	0.0406920401	0.0909886238	0.9196379197	0.0284198568	0.0031754766	2	390	26	2,0	390,1126	104	2	3.237967798984333e-05	0.000317951	0.0195121951	41	0.00240441	3.1116585732	-0.000582207	B	0.8703333333	-4.6428183142	0.9991507749	2.4812503432	0.0782552083	no	0.5566020799	-9.6550071865	0.9991507749	1.6147335011	0.078515625	no	0.0219619048	-0.0917808026	0.4257249189	-1.0649028688	0.84296875	no	intermediate	9	0.8181818182	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	1	Epilepsy,childhood absence	yes	childhood absence	0.000277	2	nociception	yes	nociception	7.9e-06	1	PENK+_nociceptors,Proprioceptors	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
MAP2K1	-0.368671	0.087578	0.5	-0.995137	0.596274	0.5	0.0019567481	seed	1	Peripheral	0.1682232451	0.1533425129	0.6909223997	0.6237007605	0.0406705544	21	13	8	21,3,1,0	13,353,608,1126	104	4	0.000257256	0.0047146599	0.1207843137	51	0.0029908515	2.7817265987	0.0011820397	A	0.7271538462	-9.8155185429	0.9991507749	1.9081318715	0.078515625	no	0.5804575807	-8.9650006484	0.9991507749	1.7352844593	0.078515625	no	0.0913650794	4.2552135676	0.0007939184	-0.4461848429	0.637109375	yes	core	17	0.1739130435	yes	female,male	yes	male	5.03e-16	2	pain_upregulated,no_pain_upregulated	yes	no_pain_upregulated	3.06e-39	2	Alternating hemiplegia of childhood ORPHA:2131,Herpes simplex virus encephalitis ORPHA:1930,Distal 17p13.3 microdeletion syndrome ORPHA:261257	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	3	Epilepsy,childhood absence,Frontotemporal dementia and/or amyotrophic lateral sclerosis,Cardiofaciocutaneous syndrome	yes	Cardiofaciocutaneous syndrome	2.43e-07	4	nociception,cancer pain,temporomandibular disorder	yes	nociception	7.9e-06	3	PENK+_nociceptors,Pruritogen_receptor_enriched,Aß_SA_LTMRs	yes	PENK+_nociceptors	5.09e-61	3	6	yes	yes	no	yes
MAP2K3	-0.149832	0.008818	0.5	-0.995119	0.595724	0.5	0.0018925887	seed	0	Peripheral	0.0607801455	0.0811334965	0.8820112541	0.6032503815	0.010172452	17	18	5	17,0	18,1126	104	2	0.0001212128	0.004117634	0.0461538462	40	0.0023457659	2.8360896111	0.0005522839	A	0.9928076923	-0.2181401906	0.9987020772	2.9714903827	0.0763020833	no	0.5126874658	-10.9252119536	0.9991507749	1.392816181	0.12421875	no	0.0108126984	-0.7900995396	0.9421144277	-1.164296232	0.9220052083	no	intermediate	10	1	yes	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131,ALG6-CDG ORPHA:79320	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	2	Epilepsy,childhood absence	yes	childhood absence	0.0116	2	nociception,temporomandibular disorder	yes	nociception	7.9e-06	1	PENK+_nociceptors,Putative_silent_nociceptors	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
